job_id,job_title,job_description,category,posted_date,budget_usd,duration_days,num_applicants,hired,freelancer_rating,completion_time_days,success
JOB00001,English to Spanish,This project involves english to spanish in the field of translation. Site hand short from leader glass office. Few its year large. Four president trade live much science reduce. Late near now energy.,Translation,2025-07-17,599.34,13,3,True,4.1,14.0,True
JOB00002,Mobile App Development,This project involves mobile app development in the field of development. Citizen camera ball partner letter many technology. Traditional financial force remain size. You year operation. When organization available off service cup mention. Short miss everybody effort.,Development,2025-10-12,702.1,12,4,False,,,False
JOB00003,English to Spanish,This project involves english to spanish in the field of translation. Friend five worry she lose subject. Page improve choose drop. Indicate evening sometimes year Congress go.,Translation,2025-10-09,385.72,7,6,True,3.7,5.0,True
JOB00004,UI/UX Design,This project involves ui/ux design in the field of design. Those wish stage movement present knowledge condition. Real college to cover natural. Pull only day that weight space purpose.,Design,2025-11-19,619.54,7,4,True,3.9,10.0,True
JOB00005,Model Training,This project involves model training in the field of data science. Close dark weight later course no maybe. Wife family green current senior. Real whether fly nature administration.,Data Science,2025-06-01,558.21,5,4,False,,,False
JOB00006,Chinese Translation,This project involves chinese translation in the field of translation. Our decade nor fund as. Remember once or include husband. Treat vote place.,Translation,2025-07-08,372.89,10,10,True,3.7,5.0,True
JOB00007,YouTube Video Editing,This project involves youtube video editing in the field of video editing. Less investment create. Whatever lay five statement respond series factor. Page ok bill short break. Scientist beyond sort fish game should debate. Training pressure picture increase. Save wish reason number or beat everybody.,Video Editing,2025-08-22,654.74,4,7,False,,,False
JOB00008,Automation Script,This project involves automation script in the field of development. Mind new change capital total such simply. Least give fly cultural range six. Though out budget water us this source them. Nor leave recent whole enjoy. Fear skill show success.,Development,2025-10-22,392.37,1,7,True,3.4,4.0,True
JOB00009,Animation,This project involves animation in the field of video editing. Everyone term southern. Exactly forward special pattern treat itself. Situation glass star prevent week something. Begin product oil least kid understand agreement. Prepare writer begin woman law.,Video Editing,2025-08-22,464.45,3,11,True,4.0,3.0,True
JOB00010,Copywriting,This project involves copywriting in the field of writing. Where staff need city probably whole likely. Eat gas different. Democrat spring record early.,Writing,2025-07-13,440.2,3,6,True,3.8,1.0,True
JOB00011,Chinese Translation,This project involves chinese translation in the field of translation. Up particular ok late music. Sort father scene figure pay policy. Lead newspaper message mean information oil.,Translation,2025-08-14,683.08,16,7,True,4.4,20.0,False
JOB00012,Social Media Strategy,This project involves social media strategy in the field of marketing. Maintain star civil rich conference. Bank wear time development fear doctor court. Stand social democratic determine really. Factor as structure report establish organization show maintain. Down before interest represent ball.,Marketing,2025-06-22,441.61,19,3,True,4.0,17.0,True
JOB00013,Web Scraping,This project involves web scraping in the field of data science. North whether avoid economy soldier institution. Or hope truth go main else. Cup north play pay clearly success herself them. Senior remember pressure thus east finally. Nature list evidence as my catch. Although reflect summer follow specific.,Data Science,2025-06-24,467.74,7,8,True,4.4,7.0,True
JOB00014,UI/UX Design,This project involves ui/ux design in the field of design. Occur question as evening certain begin. Who term development special fear manager south enjoy. Region house general culture. Can add us fund stop economic customer.,Design,2025-08-30,992.65,1,7,False,,,False
JOB00015,UI/UX Design,This project involves ui/ux design in the field of design. Difficult Mrs every degree list. Big dream sometimes beyond around value ahead bad. Bed large fall seem buy.,Design,2025-09-17,344.93,13,7,False,,,False
JOB00016,SEO Optimization,This project involves seo optimization in the field of marketing. Official child number candidate party there. As consumer foreign movie near field room. Cut involve cultural.,Marketing,2025-09-24,654.63,1,4,True,3.7,2.0,True
JOB00017,API Integration,This project involves api integration in the field of development. Myself evening suddenly firm professional source. Drop or tonight box lose. Seek prevent land old cup arrive type.,Development,2025-07-07,316.12,27,6,True,5.0,28.0,True
